2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,HGT,WGT,POS
5.7,.498,3.7,.381,2.5,.759,4.8,1.4,0.9,0.3,1.3,193,92,SG
3.3,.509,2.6,.363,2.0,.740,3.4,1.6,0.6,0.1,1.3,196,99,SG
4.8,.532,0.8,0,2.0,.622,5.2,0.2,0.5,0.5,1.3,203,97,SF
6.1,.553,4.7,.420,3.7,.870,5.2,2.0,1.0,0.7,2.1,196,88,SG
7.0,.559,0.5,.278,3.8,.664,6.5,2.4,1.2,1.9,1.9,208,108,PF
5.2,.491,5.7,.386,4.1,.890,3.0,1.6,1.1,0.1,1.8,196,94,SG
10.6,.527,0.2,.071,4.3,.669,8.8,1.2,0.8,3.4,2.8,203,106,PF
5.8,.494,3.3,.321,3.1,.768,4.6,2.0,1.0,0.2,2.0,201,98,SF
3.5,.509,3.0,.379,1.5,.815,3.2,1.8,0.8,0.7,1.4,203,102,SF
4.1,.491,2.5,.370,2.8,.765,4.8,1.5,0.8,1.3,1.6,201,95,SF
12.2,.580,0.2,.375,6.8,.620,12.7,0.9,1.3,2.0,2.4,203,111,PF
5.2,.497,4.6,.329,2.5,.788,4.1,2.2,1.5,0.3,1.3,190,95,SG
7.8,.497,6.9,.397,4.7,.822,2.5,2.3,0.9,0.5,2.0,190,90,SG
9.3,.558,0.5,.273,5.5,.677,8.2,3.2,1.5,1.5,2.9,211,112,C
6.3,.541,0.0,0,3.3,.663,5.8,1.8,0.8,0.9,1.4,203,92,PF
8.1,.473,4.6,.380,3.3,.729,4.4,2.9,1.2,0.4,2.1,193,86,SG
4.7,.546,0.3,0,3.3,.531,8.6,1.3,0.8,2.1,1.8,208,98,PF
7.3,.585,1.1,.358,4.3,.660,6.2,1.3,0.9,0.4,1.6,206,106,PF
4.8,.579,0.9,.404,2.9,.653,6.1,1.2,0.6,0.9,1.6,208,111,PF
6.7,.517,2.9,.381,2.6,.780,3.7,5.5,1.6,0.3,1.2,188,77,PG
8.6,.535,0.5,.240,3.9,.654,6.4,1.3,0.4,1.2,2.0,206,104,PF
10.9,.463,3.3,.377,5.6,.711,5.2,0.8,0.7,0.1,1.6,198,102,SF
8.1,.448,6.4,.335,4.9,.710,3.4,2.2,1.1,0.4,2.7,188,81,SG
10.8,.457,3.5,.288,4.9,.663,6.0,4.4,1.8,0.3,3.2,196,77,PG
7.3,.502,7.7,.408,4.2,.783,5.2,2.2,1.0,0.3,2.3,196,93,PG
10.3,.510,0.5,.313,5.2,.819,8.2,1.6,0.4,2.0,1.6,211,106,C
5.9,.443,3.6,.305,2.5,.731,4.3,1.1,0.8,0.6,2.3,198,104,SF
0,0,0,0,3.2,.628,6.7,1.5,0.9,0.9,1.9,208,92,C
5.3,.444,4.8,.375,4.4,.813,4.0,4.5,1.8,0.2,2.4,185,81,PG
8.7,.553,3.6,.375,3.2,.763,5.2,3.1,0.7,0.5,2.3,203,104,PF
6.2,.617,0.0,0,4.2,.684,6.4,1.7,0.9,1.7,1.8,211,105,C
6.9,.590,0.0,0,4.3,.529,9.5,1.6,2.1,4.4,1.9,208,103,C
8.7,.483,0.3,0,5.2,.650,5.3,2.0,1.1,0.6,1.6,193,90,SG
10.2,.474,0.3,.222,4.6,.619,7.7,1.3,0.5,0.8,2.9,206,116,PF
3.7,.533,2.7,.399,3.0,.751,5.6,3.0,1.2,0.3,1.9,198,97,SF
7.0,.620,1.6,.261,3.8,.685,8.5,0.9,0.5,2.2,2.0,208,108,C
4.6,.526,3.4,.415,4.1,.785,4.6,1.0,0.4,0.3,0.9,203,104,PF
11.1,.664,0.0,0,5.1,.510,8.5,1.3,0.8,1.4,2.5,211,122,C
5.9,.585,1.4,.338,3.5,.716,5.2,1.7,1.5,0.5,2.0,196,97,SG
4.9,.634,0.7,.333,2.8,.709,4.6,1.1,0.5,0.5,1.4,213,107,PF
4.4,.621,0.0,0,1.3,.547,6.4,1.1,0.8,1.6,1.7,208,104,C
4.3,.497,2.6,.358,3.1,.718,5.0,0.8,1.1,0.4,1.2,201,90,SF
4.8,.446,5.7,.375,2.9,.844,2.8,4.3,1.4,0.2,1.9,185,79,PG
11.2,.504,3.0,.358,6.1,.748,8.7,1.2,1.1,1.2,2.3,203,106,PF
6.0,.555,0.0,0,3.1,.516,5.1,0.3,0.4,0.7,1.2,206,117,PG
4.6,.575,3.2,.337,2.8,.611,6.0,2.4,0.9,0.3,1.6,206,97,SF
10.1,.604,0.8,.329,4.3,.734,8.2,1.5,0.7,1.6,1.6,206,106,PF
8.0,.683,0.4,.533,2.5,.517,6.2,1.2,0.9,1.4,1.7,211,97,C
5.1,.439,4.7,.325,4.0,.724,3.8,2.2,1.1,0.5,2.3,193,90,SG
5.1,.551,1.1,.409,2.7,.755,5.3,0.6,0.6,1.0,1.4,208,111,PF
8.3,.487,6.3,.359,4.7,.781,3.7,5.7,1.8,0.5,2.9,188,81,PG
9.2,.512,1.1,.268,6.5,.611,5.1,4.9,2.0,0.5,3.4,190,81,PG
3.4,.400,3.7,.409,2.0,.812,2.7,4.1,0.9,0.1,1.5,188,85,PG
6.9,.539,5.2,.416,4.2,.846,7.4,1.5,0.8,0.3,1.9,206,102,PF
1.9,.664,0.0,0,1.7,.555,3.8,0.5,0.4,0.8,0.5,213,115,C
6.4,.578,0.1,0,4.0,.583,7.7,1.5,0.8,1.4,2.0,208,106,C
3.5,.557,0.0,0,1.5,.625,4.8,0.3,0.5,0.6,1.0,208,111,C
7.7,.659,0.0,0,5.2,.605,8.0,1.3,0.5,1.7,1.8,213,104,C
8.3,.528,1.2,.327,4.1,.768,5.6,1.7,0.8,0.3,1.9,201,97,SF
6.8,.550,2.4,.355,3.8,.751,7.1,2.1,1.5,0.9,1.3,203,92,SF
10.3,.540,0.9,.365,3.9,.737,7.9,1.3,1.1,1.5,1.4,211,109,PF
7.3,.484,0.8,.289,4.1,.722,6.3,1.8,0.9,0.9,2.1,208,108,C
5.2,.533,2.5,.314,2.5,.746,3.0,1.5,1.1,0.4,1.3,193,97,SG
4.9,.595,0.9,.302,2.9,.686,5.3,0.5,0.4,0.7,1.3,203,107,PF
5.7,.459,6.1,.361,5.1,.770,2.4,3.4,1.6,0.1,2.6,183,90,PG
5.3,.461,4.6,.363,2.6,.638,3.0,1.8,0.8,0.1,1.7,193,92,SG
3.7,.471,3.2,.310,2.9,.660,3.9,3.1,1.0,0.4,1.7,198,84,SG
8.5,.549,0.3,.409,5.2,.666,9.4,1.2,0.6,1.1,1.8,211,99,PF
9.3,.517,0.5,.167,7.2,.706,10.4,1.4,0.5,0.8,2.5,206,113,C
7.1,.590,0.0,.000,3.8,.635,6.7,1.0,0.7,0.7,1.6,206,114,PF
5.8,.521,4.3,.294,3.7,.666,3.2,4.5,1.0,0.0,2.6,193,86,SG
3.9,.466,3.9,.395,2.6,.779,3.6,1.6,0.9,0.4,1.4,198,94,SG
7.1,.574,0.0,0,4.1,.500,6.3,0.5,0.5,1.7,1.4,206,99,C
5.1,.388,6.1,.353,4.2,.720,4.3,2.1,1.1,0.3,2.1,198,88,SG
7.1,.477,4.7,.365,5.4,.658,3.4,2.1,1.0,0.0,2.3,193,90,SG
5.7,.555,1.4,.350,3.2,.582,10.0,1.1,1.6,1.4,1.7,201,95,SG
4.2,.527,2.8,.336,2.2,.714,4.9,0.6,0.6,0.6,0.9,203,80,SF
6.0,.544,1.5,.283,3.3,.577,4.5,4.2,2.3,0.2,2.2,185,77,PG
8.3,.521,2.6,.337,5.1,.712,4.5,4.7,1.2,0.4,2.7,190,86,PG
5.5,.528,4.6,.364,1.8,.764,4.7,1.2,0.9,0.7,1.4,198,88,SG
6.8,.447,3.5,.331,3.1,.772,4.3,2.4,1.5,0.1,1.4,185,86,PG
8.1,.479,6.6,.411,4.5,.756,5.7,5.0,1.6,0.3,2.9,196,81,PG
8.0,.638,0.2,0,4.2,.729,9.4,1.3,0.5,0.6,2.0,208,104,C
12.2,.476,0.2,.077,3.7,.607,6.4,1.1,0.9,1.0,1.8,206,97,SF
3.6,.429,1.4,.286,2.8,.677,3.5,2.0,1.3,0.1,1.6,185,77,PF
4.8,.494,4.1,.366,2.8,.632,3.0,2.6,0.7,0.4,1.9,196,104,SG
6.7,.430,0.8,.313,3.0,.740,4.2,4.9,1.2,0.1,2.6,190,86,PG
6.7,.450,4.0,.305,4.1,.738,4.5,4.2,2.3,0.2,3.0,196,96,SG
11.5,.559,0.3,.176,5.0,.711,9.7,1.5,0.9,2.0,1.9,206,104,PF
7.3,.445,4.7,.361,5.7,.787,4.2,1.7,0.9,0.3,2.8,196,89,SG
11.6,.561,0.1,.333,9.0,.670,11.8,4.8,2.0,0.8,3.4,208,102,PG
7.3,.560,2.8,.386,4.7,.716,5.0,2.2,0.7,0.4,3.3,198,88,SG
4.9,.432,2.6,.327,2.4,.775,1.6,2.0,0.6,0.1,1.2,196,79,PG
7.7,.479,5.0,.363,4.3,.773,6.9,2.0,1.1,0.7,2.1,203,104,SF
7.3,.488,4.6,.295,7.3,.751,5.9,4.5,2.9,0.6,3.0,193,99,SG
2.0,.667,0.0,0,0.7,1.000,1.3,0.0,0.0,0.0,0,190,PG
9.3,.556,0.3,.308,5.5,.751,7.9,2.0,0.5,1.7,3.1,213,108,C
0.8,.333,0.0,0,0.5,.500,1.8,1.0,0.8,0.3,1.3,196,88,PF
2.9,.480,4.2,.380,1.9,.821,2.4,2.0,0.5,0.3,1.5,201,90,SG
6.2,.633,0.0,0,2.3,.688,5.4,0.5,0.3,0.9,1.1,208,111,C
4.0,.500,5.2,.441,3.9,.832,2.9,2.3,0.6,0.3,1.5,198,92,SG
8.7,.495,2.1,.219,3.5,.664,5.4,2.5,0.9,0.2,2.4,196,95,SG
2.2,.515,1.7,.306,1.5,.700,1.6,3.1,1.2,0.1,1.5,180,74,PG
2.9,.504,1.4,.265,2.9,.617,5.5,5.2,1.5,0.4,1.9,201,90,SG
6.0,.483,2.2,.285,5.1,.730,3.5,3.8,1.2,0.4,2.2,196,77,PG
7.9,.537,2.3,.376,4.4,.760,10.4,2.4,0.4,0.5,3.0,206,117,PF
8.6,.504,4.0,.342,4.8,.849,7.3,2.1,1.3,1.1,2.6,203,92,SF
9.8,.419,1.3,.294,5.4,.792,3.1,4.5,1.0,0.1,2.3,185,77,PG
8.2,.477,3.0,.421,5.9,.812,3.0,3.0,1.9,0.6,3.0,188,81,PG
6.8,.438,2.0,.325,3.0,.714,2.5,4.8,0.9,0.3,2.7,188,85,PG
2.9,.470,3.0,.278,1.9,.783,3.7,3.6,1.4,0.8,2.2,198,86,SG
7.6,.490,4.8,.325,6.0,.713,3.5,4.0,1.2,0.1,2.7,173,83,PG
3.2,.525,0.0,0,2.1,.600,3.6,0.5,0.6,0.2,1.2,206,102,PF
8.1,.450,6.3,.390,3.9,.827,4.8,2.6,1.3,0.8,2.9,198,90,SG
4.6,.472,3.6,.396,5.0,.816,2.8,1.3,0.6,0.1,1.7,196,87,C
7.5,.420,4.0,.339,5.6,.771,5.2,3.0,1.5,0.6,2.5,196,97,SG
5.3,.506,0.5,.333,3.3,.671,4.9,1.1,0.6,1.1,1.4,203,108,PF
6.4,.577,0.2,.250,3.4,.813,6.7,1.1,0.5,2.3,1.4,211,113,C
9.5,.527,0.0,0,4.7,.711,8.2,2.0,1.3,0.3,2.2,196,102,PF
9.1,.525,1.5,.362,5.0,.758,6.8,4.1,1.6,0.7,3.5,201,95,SF
5.7,.513,1.8,.274,3.3,.839,6.5,0.6,0.3,2.6,1.4,211,108,C
6.6,.485,0.4,.289,2.5,.649,6.3,1.5,0.8,2.8,1.5,208,108,C
5.1,.462,3.3,.371,3.4,.846,2.4,5.3,1.2,0.1,1.5,175,70,PG
4.6,.476,4.5,.408,2.0,.779,5.9,4.4,0.9,0.3,2.2,196,99,SG
8.1,.481,6.1,.383,4.3,.694,4.8,1.6,0.8,0.3,2.2,198,95,SG
6.1,.530,1.1,.485,4.5,.716,9.0,0.6,0.9,1.4,2.1,208,108,PF
4.9,.513,2.8,.348,2.3,.753,1.9,2.0,1.5,0.2,1.1,193,97,SG
8.7,.469,3.5,.326,5.8,.783,4.4,4.1,1.7,0.3,2.3,185,78,PG
8.8,.509,3.1,.325,6.3,.754,4.3,6.5,1.8,0.5,4.0,193,88,PG
7.9,.464,3.1,.292,4.2,.613,5.2,3.4,1.1,0.4,2.2,196,90,PG
3.8,.409,4.6,.401,3.5,.837,4.4,3.9,1.1,0.0,1.8,183,83,PG
11.0,.596,0.0,0,4.6,.592,9.4,1.6,0.8,2.0,1.4,203,115,PF
11.5,.598,2.0,.315,4.3,.654,5.7,1.0,1.5,0.5,1.7,203,105,SF
6.2,.511,0.4,.400,1.8,.798,4.1,0.7,0.6,0.7,0.9,208,104,SF
6.1,.628,3.6,.330,3.4,.676,8.6,0.8,1.3,0.6,1.3,206,91,SF
4.3,.466,1.1,.274,2.4,.769,3.3,3.0,2.9,0.2,1.5,188,74,PG
5.3,.491,1.3,.354,2.4,.685,2.4,2.5,1.0,0.1,1.6,190,84,PG
7.6,.569,4.2,.396,5.4,.813,4.1,4.4,1.2,1.4,2.4,196,87,PG
5.3,.542,1.5,.327,3.6,.799,5.1,0.7,0.7,0.8,1.6,203,92,PF
7.8,.387,5.8,.359,4.6,.757,3.7,4.5,1.3,1.1,3.4,193,95,PG
9.2,.522,0.1,.600,5.5,.588,8.9,0.3,0.6,5.4,1.9,213,106,C
8.5,.493,3.6,.341,6.5,.775,5.9,1.5,1.2,1.0,2.3,203,90,SF
7.8,.638,0.1,.625,3.6,.827,5.9,1.5,0.5,1.8,2.5,201,99,PF
6.5,.445,2.3,.305,4.2,.725,5.0,2.6,1.2,0.5,0,198,102,SF
0.4,0,0.3,.333,0.3,.750,0.4,0.1,0.1,0.0,0.0,190,80,PF
2.5,.444,1.9,.312,2.0,.571,1.9,2.3,0.9,0.0,0,183,79,SG
3.1,.400,4.6,.431,3.4,.813,3.2,3.2,1.3,0.0,0,175,PF
2.6,.462,0.8,.000,2.8,.643,0.6,1.0,0.2,0.0,0,190,SG
5.6,.522,1.2,.432,4.5,.847,6.6,0.7,1.1,0.5,1.6,206,104,PF
5.5,.534,0.1,0,3.9,.710,4.4,1.3,0.5,0.5,1.9,198,96,SG
0.9,.618,0.0,0,0.4,.733,1.9,0.1,0.2,0.3,0,206,SF
3.3,.619,2.0,.363,1.0,0,3.3,0.8,0.4,1.0,0.8,206,99,PF
5.1,.478,2.0,.336,2.2,.708,4.6,1.6,0.6,0.8,1.4,201,104,SF
6.3,.516,2.8,.418,4.0,.641,6.5,2.1,1.3,0.9,1.8,198,102,PF
4.9,.567,0.0,0,3.3,.726,5.4,0.6,0.5,2.7,1.2,213,106,C
9.9,.490,3.6,.342,6.4,.803,4.7,5.3,1.5,0.2,2.2,193,87,PG
9.5,.646,0.0,0,4.2,.567,6.2,1.0,1.0,1.8,1.6,206,92,PF
7.5,.594,1.9,.299,5.5,.814,5.8,5.2,2.3,1.1,2.2,196,80,PG
5.4,.470,5.9,.349,4.4,.706,4.3,1.7,0.8,0.2,1.9,198,97,SG
2.0,.407,1.6,.340,0.7,.737,1.8,0.6,0.6,0.1,0.7,183,81,PG
9.2,.518,2.7,.368,3.9,.764,5.1,1.4,0.8,0.3,2.1,198,90,SG
8.9,.498,3.0,.419,2.3,.743,4.9,2.0,1.3,0.4,2.2,203,99,PF
9.3,.594,0.0,0,6.6,.756,7.3,1.3,1.2,1.2,2.0,213,108,C
8.6,.544,0.0,0,4.5,.775,6.7,0.6,0.7,1.1,1.4,213,113,C
5.1,.467,6.2,.394,6.3,.838,3.4,5.4,1.5,0.2,2.9,185,81,PG
5.7,.489,3.3,.348,2.9,.776,4.1,2.0,0.5,0.3,1.7,201,86,SF
8.0,.472,2.7,.301,4.7,.739,5.3,1.6,1.0,0.3,2.3,196,87,SG
5.5,.505,3.5,.365,3.3,.729,4.9,2.2,1.0,0.6,2.1,196,99,SG
4.5,.490,5.4,.380,4.2,.834,3.2,3.0,1.0,0.1,1.7,193,88,SG
3.0,.651,0.5,.133,2.2,.516,2.9,0.4,0.2,1.1,1.3,208,86,PF
11.9,.635,1.0,.343,5.5,.733,11.6,1.6,0.6,1.9,2.0,216,113,C
7.3,.603,1.7,.275,4.0,.681,10.5,0.5,0.8,3.7,1.5,211,102,C
5.9,.537,3.2,.352,2.5,.776,5.7,1.1,0.6,1.2,1.2,201,86,SF
7.7,.541,2.4,.316,4.1,.724,6.5,1.1,0.6,0.7,1.5,201,97,SF
2.8,.483,1.2,.250,1.5,.733,4.8,1.1,0.7,0.9,0.8,208,97,PF
3.8,.645,3.7,.400,2.3,.845,4.3,1.6,1.4,0.9,1.1,201,86,SF
7.8,.537,5.5,.375,3.2,.776,7.6,2.4,0.6,1.1,2.1,201,104,SF
7.9,.495,1.4,.229,3.9,.555,5.4,3.7,0.9,0.2,2.2,190,91,PG
3.6,.536,4.6,.408,2.9,.818,6.3,1.8,1.0,0.7,1.4,201,97,SG
6.2,.602,0.0,0,3.2,.470,5.0,0.4,0.2,1.2,1.8,211,127,SG
5.9,.587,3.9,.393,3.5,.820,2.5,3.7,0.8,0.0,1.9,190,90,PG
7.2,.498,4.2,.337,6.4,.751,2.9,4.0,1.3,0.4,2.2,185,86,SG
5.3,.453,4.7,.355,3.0,.798,3.7,3.9,2.3,0.2,1.8,188,83,PG
2.1,.500,0.1,0,0.9,.364,1.8,0.2,0.4,0.4,0,206,C
4.6,.438,3.3,.338,2.8,.762,3.6,3.8,1.1,0.2,1.6,190,90,PG
6.2,.440,4.0,.347,5.6,.805,3.5,3.1,0.9,0.1,1.9,190,86,PG
3.5,.445,2.9,.327,2.0,.747,3.2,4.1,1.4,0.1,1.6,183,72,PG
2.2,.465,1.8,.434,1.0,.752,1.1,0.7,0.6,0.1,0.8,193,90,PF
8.1,.552,1.1,.350,3.8,.772,7.2,1.0,1.0,1.2,1.0,196,102,SF
5.4,.472,5.9,.394,3.5,.827,2.8,2.1,1.2,0.2,1.6,188,83,SG
0.7,.357,0.6,0,0.8,.629,0.6,0.2,0.2,0.1,0.3,201,97,C
3.9,.513,3.3,.397,2.8,.856,5.6,1.4,0.5,0.6,1.7,201,113,PF
6.4,.458,2.1,.338,3.4,.616,3.6,1.2,0.8,0.4,1.4,196,86,SG
3.6,.573,4.0,.378,2.2,0,4.0,2.4,0.9,0.2,1.6,196,90,SG
6.5,.490,2.9,.290,2.4,.596,2.0,5.6,1.5,0.1,2.8,190,84,PG
7.8,.598,0.0,0,3.5,.693,6.6,0.9,0.5,1.7,2.0,208,108,PF
5.0,.476,4.4,.377,2.7,.755,4.3,2.5,1.1,0.9,1.3,198,95,SG
5.2,.572,2.8,.312,3.2,.653,4.4,1.7,1.6,0.5,2.0,196,90,SG
7.8,.497,5.4,.394,5.1,.882,2.6,3.7,1.2,0.1,2.5,188,88,SG
6.1,.423,3.5,.323,5.4,.841,2.7,3.5,0.9,0.2,2.6,198,92,SG
3.0,.577,0.0,0,0.9,.500,3.8,0.3,0.3,0.7,0.7,208,108,PF
8.6,.500,1.5,.404,4.7,.817,4.1,5.1,1.6,0.5,2.7,198,81,PG
6.5,.557,3.1,.301,4.2,.716,4.1,3.8,1.1,0.1,2.3,183,81,PG
4.0,.437,5.1,.409,3.2,.787,3.1,4.5,1.4,0.1,1.9,188,79,PG
4.3,.494,4.2,.333,1.6,.726,4.8,1.9,0.9,0.7,1.5,203,92,SF
4.0,.465,4.7,.395,2.5,.888,1.7,0.9,0.5,0.0,1.2,190,94,SG
6.2,.469,4.2,.422,3.9,.795,3.2,4.7,1.2,0.2,3.0,185,83,PG
3.6,.572,5.4,.394,2.0,.748,5.0,3.0,0.8,0.7,1.9,201,86,SG
2.1,.473,0.0,0,0.7,.650,2.7,0.2,0.2,0.6,0.4,213,117,C
7.1,.508,1.8,.353,4.2,.687,5.5,2.1,1.0,0.2,1.9,201,86,SF
3.8,.472,0.0,0,2.7,.550,4.3,0.3,0.2,1.0,0,208,PG
0,0,0,0,1.7,.709,2.9,1.2,1.0,0.2,1.3,193,86,PF
4.6,.620,0.0,0,2.6,.575,6.3,0.9,0.6,0.9,0.9,206,97,PF
4.1,.521,7.1,.438,3.8,.856,2.7,1.1,0.7,0.3,1.3,193,97,SG
7.5,.523,3.8,.325,4.6,.716,11.1,2.4,0.5,0.3,2.3,206,91,PF
0.3,.300,0.2,.000,0.4,0,0.4,0.1,0.3,0.0,0,190,87,SF
7.8,.547,1.0,.138,2.5,.573,10.8,3.1,1.1,0.6,2.2,196,78,SF
9.1,.493,1.7,.328,5.3,.638,8.0,1.5,1.2,1.8,1.8,206,114,PF
4.3,.478,3.6,.401,2.4,.731,5.4,0.7,0.4,0.3,1.5,198,99,SF
7.4,.461,6.1,.377,4.5,.795,4.0,4.2,0.7,0.2,3.2,190,83,PG
7.4,.509,4.5,.341,4.4,.774,5.4,1.4,0.8,0.3,2.3,206,97,PF
7.2,.480,5.3,.322,5.3,.777,4.0,1.9,1.1,0.2,2.0,193,90,SG
3.4,.427,1.9,.259,2.2,.661,3.5,1.8,0.5,0.1,1.6,190,90,PG
8.4,.442,2.8,.377,4.5,.796,1.9,4.0,1.0,0.1,2.3,185,88,PG
6.6,.466,2.7,.342,4.4,.740,3.9,6.7,1.4,0.1,3.3,185,81,PG
4.6,.500,5.2,.405,4.7,.871,2.8,3.1,1.1,0.1,1.8,190,83,SG
4.2,.532,3.7,.352,2.8,.798,3.2,2.1,1.2,0.2,1.5,196,86,SG
9.5,.493,1.1,.403,5.4,.755,6.9,1.0,0.4,1.6,1.9,203,108,PF
6.6,.462,1.2,.230,4.6,.677,4.1,3.1,1.9,0.3,2.8,193,72,SG
5.9,.475,4.6,.343,4.0,.769,3.3,1.8,0.6,0.9,2.0,196,90,SG
4.4,.510,2.1,.284,3.0,.706,4.7,3.5,1.9,1.0,1.8,193,86,PG
8.5,.545,0.4,.302,3.9,.692,6.3,1.2,0.7,1.6,1.7,211,97,PF
3.0,.455,4.3,.409,1.0,.746,2.5,1.5,0.7,0.2,1.1,203,88,SF
5.8,.517,3.9,.386,4.0,.784,5.1,2.0,0.6,0.2,2.2,201,92,SF
9.4,.454,2.8,.382,6.6,.777,5.8,2.0,1.5,0.8,2.3,193,93,SG
3.5,.499,1.5,.257,2.2,.746,4.4,3.4,0.8,0.3,1.5,198,88,SG
6.9,.462,5.5,.386,4.8,.806,3.3,2.5,1.2,0.1,2.3,188,83,PG
5.1,.432,4.3,.334,2.1,.716,4.5,1.2,0.6,0.3,1.2,201,88,SG
1.9,.545,4.9,.419,1.2,.864,2.5,1.2,0.6,0.3,0.7,203,86,PF
3.9,.477,2.3,.375,2.8,.741,3.2,1.8,0.8,0.6,1.5,193,88,SG
2.9,.566,3.1,.324,2.2,.745,2.3,1.0,0.6,0.2,1.3,196,79,SG
9.3,.495,4.0,.336,7.6,.778,3.8,3.6,0.8,0.1,2.8,190,86,PG
3.6,.542,5.1,.437,2.8,.811,3.0,4.1,0.8,0.2,1.5,193,81,SG
2.8,.526,4.1,.364,2.6,.738,2.1,1.3,0.9,0.1,1.1,193,84,SG
6.4,.574,1.1,.450,3.4,.717,5.0,1.8,1.1,1.1,1.1,196,88,SG
4.7,.511,3.8,.433,1.8,.700,8.0,0.8,0.7,1.5,1.0,206,117,PF
2.2,.669,0.4,.370,1.0,.633,3.4,0.3,0.5,1.2,0.4,196,85,SG
6.8,.430,3.9,.365,3.8,.763,3.0,2.1,1.3,0.2,1.7,190,99,SG
5.1,.578,3.2,.406,2.1,.719,4.6,2.5,1.4,0.3,1.6,190,90,SG
5.7,.566,4.9,.378,5.7,.827,3.7,2.4,0.5,0.2,2.0,193,86,SG
4.8,.433,0.1,.000,2.7,.632,7.9,1.0,0.4,0.8,1.1,206,97,PF
4.5,.643,2.7,.385,2.2,.698,4.5,0.5,0.8,0.4,1.2,208,95,C
4.6,.466,1.5,.344,3.2,.722,3.9,3.4,1.0,0.2,1.9,193,95,PG
7.8,.468,2.7,.341,2.5,.699,3.8,2.1,0.9,0.4,1.6,203,95,SF
5.5,.481,3.5,.337,2.7,.788,4.5,1.5,0.7,1.1,1.3,203,87,SF
6.6,.554,0.9,0,1.3,.798,7.8,0.8,0.4,1.1,0.7,213,111,C
0.3,.000,0.3,.500,0.1,0,0.1,0.1,0.1,0.0,0,188,83,C
5.8,.533,2.6,.375,3.0,.625,8.6,2.7,1.4,0.7,1.4,201,95,SF
5.6,.487,0.0,0,2.1,.551,4.7,0.4,0.4,0.6,1.2,203,102,C
5.6,.561,2.2,.261,3.1,.747,6.8,0.8,0.3,1.9,1.5,211,99,PF
9.1,.493,10.3,.360,8.6,.861,3.9,8.7,1.7,0.3,5.2,188,81,PG
